epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.906,0.24852,2.3112,1.00484,0.59647,0.55632,0.48849,0.46527,0.29706,2.29565,0.38574,0.000330709,0.000330709,0.000330709
2,602.433,0.15851,1.4598,0.92435,0.65279,0.54379,0.59974,0.58302,0.2607,2.48885,0.35312,0.000642129,0.000642129,0.000642129
3,884.836,0.1581,1.30013,0.91023,0.57211,0.67944,0.66391,0.64667,0.1989,1.51172,0.31134,0.000931549,0.000931549,0.000931549
4,1178.12,0.14889,1.15195,0.90661,0.52246,0.65002,0.61022,0.60741,0.12207,1.65138,0.17918,0.000901,0.000901,0.000901
5,1455.12,0.135,1.10788,0.90026,0.66554,0.63084,0.68674,0.68592,0.14224,1.26924,0.21975,0.000868,0.000868,0.000868
6,1747.78,0.12457,1.00677,0.89171,0.72053,0.72401,0.76849,0.76598,0.18548,0.95054,0.23037,0.000835,0.000835,0.000835
7,2040.75,0.11696,0.94733,0.89307,0.69046,0.6764,0.77156,0.76405,0.19745,1.1476,0.2826,0.000802,0.000802,0.000802
8,2333.47,0.10818,0.92378,0.89384,0.6835,0.785,0.79753,0.79238,0.18946,0.8546,0.25905,0.000769,0.000769,0.000769
9,2625.94,0.10161,0.85114,0.88818,0.73353,0.72121,0.84679,0.84257,0.13804,0.78034,0.20392,0.000736,0.000736,0.000736
10,2918.17,0.0978,0.83213,0.88105,0.74593,0.74733,0.85885,0.85625,0.14271,0.90137,0.18892,0.000703,0.000703,0.000703
11,3210.91,0.0914,0.77581,0.886,0.77031,0.76171,0.83352,0.83266,0.12776,0.72706,0.18462,0.00067,0.00067,0.00067
12,3504.13,0.08652,0.74388,0.88546,0.78083,0.78619,0.86955,0.8667,0.17403,0.6844,0.24467,0.000637,0.000637,0.000637
13,3796.6,0.08544,0.74898,0.87972,0.78804,0.76686,0.85278,0.84423,0.16088,0.73865,0.21775,0.000604,0.000604,0.000604
14,4089.01,0.08104,0.71105,0.87997,0.80858,0.76314,0.87062,0.8482,0.20903,0.71388,0.24742,0.000571,0.000571,0.000571
15,4381.73,0.0788,0.67479,0.88222,0.71341,0.77722,0.84322,0.84083,0.14585,0.71543,0.21231,0.000538,0.000538,0.000538
16,4674.27,0.07556,0.65393,0.88329,0.78077,0.85376,0.88426,0.87679,0.18653,0.63342,0.23798,0.000505,0.000505,0.000505
17,4969.81,0.0728,0.64118,0.87594,0.80149,0.83481,0.90049,0.89662,0.14076,0.5554,0.18934,0.000472,0.000472,0.000472
18,5263.11,0.06726,0.61736,0.88079,0.84125,0.84298,0.90897,0.90558,0.10323,0.56968,0.14518,0.000439,0.000439,0.000439
19,5557.33,0.06732,0.58508,0.87692,0.84083,0.82978,0.9094,0.9066,0.0917,0.45384,0.14141,0.000406,0.000406,0.000406
20,5850.46,0.06116,0.55978,0.87452,0.8001,0.89399,0.92662,0.92072,0.18495,0.49629,0.24548,0.000373,0.000373,0.000373
21,6138.35,0.07523,0.54043,0.8752,0.84678,0.80369,0.90123,0.89789,0.0949,0.5613,0.12797,0.00034,0.00034,0.00034
22,6425.97,0.05617,0.39857,0.85965,0.87172,0.88837,0.93801,0.93801,0.14003,0.44148,0.21216,0.000307,0.000307,0.000307
23,6713.7,0.05215,0.35285,0.85909,0.86237,0.83127,0.91471,0.91331,0.15862,0.49211,0.22033,0.000274,0.000274,0.000274
24,7001.7,0.04778,0.32753,0.85456,0.88757,0.83699,0.93158,0.93141,0.15017,0.43716,0.21959,0.000241,0.000241,0.000241
25,7289.73,0.04461,0.30897,0.86357,0.88471,0.86432,0.93963,0.93861,0.13242,0.44487,0.18871,0.000208,0.000208,0.000208
26,7577.99,0.04101,0.26593,0.85636,0.89315,0.85309,0.9359,0.93508,0.12179,0.44433,0.18534,0.000175,0.000175,0.000175
27,7866.36,0.03849,0.24313,0.8561,0.87451,0.88749,0.93957,0.93844,0.073,0.35274,0.10321,0.000142,0.000142,0.000142
28,8154.71,0.03582,0.20491,0.84891,0.92039,0.86994,0.93919,0.93824,0.08707,0.36749,0.12547,0.000109,0.000109,0.000109
29,8447.26,0.03409,0.19834,0.8538,0.90888,0.86127,0.94585,0.94546,0.06748,0.34432,0.09777,7.6e-05,7.6e-05,7.6e-05
30,8736.51,0.03088,0.17368,0.85635,0.90129,0.87595,0.94549,0.94515,0.06607,0.32977,0.09395,4.3e-05,4.3e-05,4.3e-05
